group_id,condition,prompt_type,key_verb,afforded_text,non-afforded_text,related_text,afforded_image,non-afforded_image,related_image
11,"After taking a shower at the gym, Sarah discovered that her skirt needed to be pressed free of wrinkles before she returned to work. What can Sarah use to smooth her skirt?",explicit,smooth,warm thermos,hair pin,hair dryer,warmthermos_natural.jpeg,hairpin_natural.jpeg,hairdryer_natural.jpeg
12,"When Aaron got to work at McDonald's he realized that he forgot his cap at home. The manager had a strict rule: If your hair isn't covered, you cannot work. What can Aaron use to cover his hair?",explicit,cover,sandwich wrapper,hamburger bun,shower cap,sandwichwrapper_natural.jpeg,hamburgerbun_natural.png,showercap_natural.jpeg
13,Marissa forgot to bring her pillow on her camping trip. What can Marissa use as a pillow?,explicit,use,leaves,water,clothes,leaves_natural.jpeg,water_natural.jpeg,clothes_natural.jpeg
14,"After wading barefoot in the lake, Erik needed something to get dry. What can Erik use to dry his feet?",explicit,dry,shirt,glasses,towel,shirt_natural.jpeg,glasses_natural.jpeg,towel_natural.jpeg
15,"While taking a walk, Colleen ran into an old friend that she hadn't seen in over a year. They exchanged phone numbers, but Colleen couldn't find anything in her purse to write the number on. What can Colleen write down the number on?",explicit,write,popsicle stick,bent earring,note pad,popsiclestick_natural.jpeg,bentearring_natural.jpeg,notepad_natural.jpeg
16,Harry accidentally dropped his book behind his bed. He couldn't reach it with his hand. What can Harry use to push it out?,explicit,push,rolled paper,smelly sock,mop handle,rolledpaper_natural.jpeg,smellysock_natural.jpeg,mophandle_natural.jpeg
17,"Janet was teaching her class and desperately needed to draw on the blackboard, but as usual, the janitorial staff had forgotten to put fresh supplies in the classroom. What can Janet use to draw on the blackboard?",explicit,draw,rice,water,chalk,rice_natural.jpeg,water_natural.jpeg,chalk_natural.jpeg
18,"Judy was trying to complete the Xeroxing using the machine in the hallway, but people kept asking her if they could cut in to make a few copies. Where can Judy move the Xerox machine to for more privacy?",explicit,move,the lavatory,her mailbox,her office,thelavatory_natural.jpeg,hermailbox_natural.jpeg,heroffice_natural.jpeg
1,Brad was sitting in his office when an intruder threatened him with a knife. Brad used this to protect himself.,implicit,protect,laptop computer,paper napkin,hunting rifle,laptopcomputer_natural.jpeg,papernapkin_natural.jpeg,huntingrifle_natural.jpeg
2,Jenny started her hike in the woods before her friend Adam arrived. She left him a note explaining that she would mark her choice of direction at each intersection of paths and that he should catch up. Jenny pointed out her path using this.,implicit,point,pen,nickel,string,pen_natural.jpeg,nickel_natural.jpeg,string_natural.jpeg
3,Art was having guests over for a cocktail party to show off his new furniture. At the last moment he realized that he didn't have enough coasters to protect the table tops from condensation dripping off the glasses. Art used this to protect his table.,implicit,protect,floppy disks,pencils,old magazines,floppydisks_natural.jpeg,pencils_natural.jpeg,oldmagazines_natural.jpeg
4,"Mike was freezing while walking up State Street into a brisk wind. He knew that he had to get his face covered pretty soon or he would get frostbite. Unfortunately, he didn't have enough money to buy a scarf. Mike used this to cover his face.",implicit,cover,newspaper,matchbook,ski-mask,newspaper_natural.jpeg,matchbook_natural.jpeg,skimask_natural.jpeg
5,"David was playing hide and seek with his son, Duncan. Duncan hid in here.",implicit,hide,clothes dryer,cookie jar,broom closet,clothesdryer_natural.jpeg,cookiejar_natural.jpeg,broomcloset_natural.jpeg
6,"Bill was working on painting his barn. He reached most of it from the ground, but part of the wall was too high to reach without a ladder. Unfortunately, he had lent his ladder to a neighbor. Bill stood on this to finish painting.",implicit,stand,tractor,hammer,chair,tractor_natural.jpeg,hammer_natural.jpeg,chair_natural.jpeg
7,"Phil was trying to get a barbecue going early in the morning for a tailgater. He got dizzy from blowing on the coals, but they still weren't burning well. Phil used this to fan the fire.",implicit,start,map,rock,bellows,map_natural.jpeg,rock_natural.jpeg,bellows_natural.jpeg
8,"Peggy was babysitting her infant nephew while she cooked dinner. He was being fussy, but she had few toys to occupy him. Peggy gave him this to play with.",implicit,occupy,plastic spoon,large refrigerator,red beanbag,plasticspoon_natural.jpeg,largerefrigerator_natural.jpeg,redbeanbag_natural.jpeg
9,"Joe's roommates had taken all of the space in the closet, and there was no place to hang his coat. Joe used this as a coat rack.",implicit,use,vacuum cleaner,electric outlet,door knob,vacuumcleaner_natural.jpeg,electricoutlet_natural.jpeg,doorknob_natural.jpeg
10,"Jonathan opened up his car's trunk, but the ice scraper wasn't there. Jonathan used this to chisel an inch of ice off his windshield.",implicit,chisel,seven iron,ham sandwich,screw driver,seveniron_natural.jpeg,hamsandwich_natural.jpeg,screwdriver_natural.jpeg
11,"After taking a shower at the gym, Sarah discovered that her skirt needed to be pressed free of wrinkles before she returned to work. Sarah used this to smooth her skirt.",implicit,smooth,warm thermos,hair pin,hair dryer,warmthermos_natural.jpeg,hairpin_natural.jpeg,hairdryer_natural.jpeg
12,"When Aaron got to work at McDonald's he realized that he forgot his cap at home. The manager had a strict rule: If your hair isn't covered, you cannot work. Aaron used this to cover his hair.",implicit,cover,sandwich wrapper,hamburger bun,shower cap,sandwichwrapper_natural.jpeg,hamburgerbun_natural.png,showercap_natural.jpeg
13,Marissa forgot to bring her pillow on her camping trip. Marisa used this as a pillow.,implicit,use,leaves,water,clothes,leaves_natural.jpeg,water_natural.jpeg,clothes_natural.jpeg
14,"After wading barefoot in the lake, Erik needed something to get dry. Erik used this to dry his feet.",implicit,dry,shirt,glasses,towel,shirt_natural.jpeg,glasses_natural.jpeg,towel_natural.jpeg
15,"While taking a walk, Colleen ran into an old friend that she hadn't seen in over a year. They exchanged phone numbers, but Colleen couldn't find anything in her purse to write the number on. Colleen used this to write the phone number on.",implicit,write,popsicle stick,bent earring,note pad,popsiclestick_natural.jpeg,bentearring_natural.jpeg,notepad_natural.jpeg
16,Harry accidentally dropped his book behind his bed. He couldn't reach it with his hand. Harry used this to push it out.,implicit,push,rolled paper,smelly sock,mop handle,rolledpaper_natural.jpeg,smellysock_natural.jpeg,mophandle_natural.jpeg
17,"Janet was teaching her class and desperately needed to draw on the blackboard, but as usual, the janitorial staff had forgotten to put fresh supplies in the classroom. Janet used this to draw on the blackboard.",implicit,draw,rice,water,chalk,rice_natural.jpeg,water_natural.jpeg,chalk_natural.jpeg
18,"Judy was trying to complete the Xeroxing using the machine in the hallway, but people kept asking her if they could cut in to make a few copies. Judy moved her Xerox machine here for more privacy.",implicit,move,the lavatory,her mailbox,her office,thelavatory_natural.jpeg,hermailbox_natural.jpeg,heroffice_natural.jpeg
