item,version,condition,setting,critical,central_word,distinguishing_word,image_natural,image_synthetic,notes,Truncated Words
5,b,afforded,"David was playing hide and seek with his son, Duncan. ",David closed his eyes and counted to ten while Duncan hid in the clothes dryer.,hid,clothes dryer,clothesdryer_natrual.jpeg,clothesdryer_synthetic.png,,clothesdryer
5,c,related,"David was playing hide and seek with his son, Duncan. ",David closed his eyes and counted to ten while Duncan hid in the broom closet.,hid,broom closet,broomcloset_natrual.jpeg,broomcloset_synthetic.png,,broomcloset
6,a,afforded,"Bill was working on painting his barn.  He reached most of it from the ground, but part of the wall was too high to reach without a ladder.  Unfortunately, he had lent his ladder to a neighbor.",Bill decided to stand on a tractor to finish painting the wall.,stand,tractor,tractor_natrual.jpeg,tractor_synthetic.png,,tractor
6,b,related,"Bill was working on painting his barn.  He reached most of it from the ground, but part of the wall was too high to reach without a ladder.  Unfortunately, he had lent his ladder to a neighbor.",Bill decided to stand on a chair to finish painting the wall.,stand,chair,chair_natrual.jpeg,chair_synthetic.png,,chair
6,c,nonafforded,"Bill was working on painting his barn.  He reached most of it from the ground, but part of the wall was too high to reach without a ladder.  Unfortunately, he had lent his ladder to a neighbor.",Bill decided to stand on a hammer to finish painting the wall.,stand,hammer,hammer_natrual.jpeg,hammer_synthetic.png,,hammer
7,a,afforded,"Phil was trying to get a barbecue going early in the morning for a tailgater.  He got dizzy from blowing on the coals, but they still weren’t burning well.",Phil grabbed a map and used it to fan the fire.,fan,map,map_natrual.jpeg,map_synthetic.png,,map
7,b,nonafforded,"Phil was trying to get a barbecue going early in the morning for a tailgater.  He got dizzy from blowing on the coals, but they still weren’t burning well.",Phil grabbed a rock and used it to fan the fire.,fan,rock,rock_natrual.jpeg,rock_synthetic.png,,rock
7,c,related,"Phil was trying to get a barbecue going early in the morning for a tailgater.  He got dizzy from blowing on the coals, but they still weren’t burning well.",Phil grabbed a bellows and used it to fan the fire.,fan,bellows,bellows_natrual.jpeg,bellows_synthetic.png,,bellows
8,a,nonafforded,"Peggy was babysitting her infant nephew while she cooked dinner.  He was being fussy, but she had few toys to occupy him.",She gave him a large refrigerator to play with.,play,large refrigerator,largerefrigerator_natrual.jpeg,largerefrigerator_synthetic.png,,largerefrigerator
8,b,related,"Peggy was babysitting her infant nephew while she cooked dinner.  He was being fussy, but she had few toys to occupy him.",She gave him a red beanbag to play with.,play,red beanbag,redbeanbag_natrual.jpeg,redbeanbag_synthetic.png,,redbeanbag
8,c,afforded,"Peggy was babysitting her infant nephew while she cooked dinner.  He was being fussy, but she had few toys to occupy him.",She gave him a plastic spoon to play with.,play,plastic spoon,plasticspoon_natrual.jpeg,plasticspoon_synthetic.png,,plasticspoon
9,a,nonafforded,"Joe’s roommates had taken all of the space in the closet, and there was no place to hang his coat.",Joe used the electric outlet as a coat rack.,coat rack,electric outlet,electricoutlet_natrual.jpeg,electricoutlet_synthetic.png,,electricoutlet
9,b,afforded,"Joe’s roommates had taken all of the space in the closet, and there was no place to hang his coat.",Joe used the vacuum cleaner as a coat rack.,coat rack,vacuum cleaner,vacuumcleaner_natrual.jpeg,vacuumcleaner_synthetic.png,,vacuumcleaner
9,c,related,"Joe’s roommates had taken all of the space in the closet, and there was no place to hang his coat.",Joe used the door knob as a coat rack.,coat rack,door knob,doorknob_natrual.jpeg,doorknob_synthetic.png,,doorknob
10,a,related,"Jonathan opened up his car's trunk, but the ice scraper wasn't there.",Jonathan pulled out of his golf bag a screw driver and used that to chisel an inch of ice off his windshield.,chisel,screw driver,screwdriver_natrual.jpeg,screwdriver_synthetic.png,,screwdriver
10,b,afforded,"Jonathan opened up his car's trunk, but the ice scraper wasn't there.",Jonathan pulled out of his golf bag a seven iron and used that to chisel an inch of ice off his windshield.,chisel,seven iron,seveniron_natrual.jpeg,seveniron_synthetic.png,,seveniron
10,c,nonafforded,"Jonathan opened up his car's trunk, but the ice scraper wasn't there.",Jonathan pulled out of his golf bag a ham sandwich and used that to chisel an inch of ice off his windshield.,chisel,ham sandwich,hamsandwich_natrual.jpeg,hamsandwich_synthetic.png,,hamsandwich
11,a,afforded,"After taking a shower at the gym, Sarah discovered that her skirt needed to be pressed free of wrinkles before she returned to work.",Sarah used her warm thermos to smooth her skirt.,smooth,warm thermos,warmthermos_natrual.jpeg,warmthermos_synthetic.png,,warmthermos
11,b,related,"After taking a shower at the gym, Sarah discovered that her skirt needed to be pressed free of wrinkles before she returned to work.",Sarah used her hair dryer to smooth her skirt.,smooth,hair dryer,hairdryer_natrual.jpeg,hairdryer_synthetic.png,,hairdryer
11,c,nonafforded,"After taking a shower at the gym, Sarah discovered that her skirt needed to be pressed free of wrinkles before she returned to work.",Sarah used her hair pin to smooth her skirt.,smooth,hair pin,hairpin_natrual.jpeg,hairpin_synthetic.png,,hairpin
12,a,related,"When Aaron got to work at McDonald’s he realized that he forgot his cap at home.   The manager had a strict rule: If your hair isn’t covered, you cannot work.",Aaron used a shower cap to cover his hair.,hair,shower cap,showercap_natrual.jpeg,showercap_synthetic.png,,showercap
12,b,nonafforded,"When Aaron got to work at McDonald’s he realized that he forgot his cap at home.   The manager had a strict rule: If your hair isn’t covered, you cannot work.",Aaron used a hamburger bun to cover his hair.,hair,hamburger bun,hamburgerbun_natrual.jpeg,hamburgerbun_synthetic.png,,hamburgerbun
12,c,afforded,"When Aaron got to work at McDonald’s he realized that he forgot his cap at home.   The manager had a strict rule: If your hair isn’t covered, you cannot work.",Aaron used a sandwich wrapper to cover his hair.,hair,sandwich wrapper,sandwichwrapper_natrual.jpeg,sandwichwrapper_synthetic.png,,sandwichwrapper
13,a,afforded,Marissa forgot to bring her pillow on her camping trip.,"As a substitute for her pillow, she filled up an old sweater with leaves.",pillow,leaves,leaves_natrual.jpeg,leaves_synthetic.png,,leaves
13,b,nonafforded,Marissa forgot to bring her pillow on her camping trip.,"As a substitute for her pillow, she filled up an old sweater with water.",pillow,water,water_natrual.jpeg,water_synthetic.png,,water
13,c,related,Marissa forgot to bring her pillow on her camping trip.,"As a substitute for her pillow, she filled up an old sweater with clothes.",pillow,clothes,clothes_natrual.jpeg,clothes_synthetic.png,,clothes
14,a,related,"After wading barefoot in the lake, Erik needed something to get dry.",He used his towel to dry his feet.,dry,towel,towel_natrual.jpeg,towel_synthetic.png,Might be missing content from setting,towel
14,b,afforded,"After wading barefoot in the lake, Erik needed something to get dry.",He used his shirt to dry his feet.,dry,shirt,shirt_natrual.jpeg,shirt_synthetic.png,,shirt
14,c,nonafforded,"After wading barefoot in the lake, Erik needed something to get dry.",He used his glasses to dry his feet.,dry,glasses,glasses_natrual.jpeg,glasses_synthetic.png,,glasses
15,a,nonafforded,"While taking a walk, Colleen ran into an old friend that she hadn’t seen in over a year.   They exchanged phone numbers, but Colleen couldn’t find anything in her purse to write the number on.",She looked around and found a bent earring to write the number on.,write,bent earring,bentearring_natrual.jpeg,bentearring_synthetic.png,,bentearring
15,b,related,"While taking a walk, Colleen ran into an old friend that she hadn’t seen in over a year.   They exchanged phone numbers, but Colleen couldn’t find anything in her purse to write the number on.",She looked around and found a note pad to write the number on.,write,note pad,notepad_natrual.jpeg,notepad_synthetic.png,,notepad
15,c,afforded,"While taking a walk, Colleen ran into an old friend that she hadn’t seen in over a year.   They exchanged phone numbers, but Colleen couldn’t find anything in her purse to write the number on.",She looked around and found a popsicle stick to write the number on.,write,popsicle stick,popsiclestick_natrual.jpeg,popsiclestick_synthetic.png,,popsiclestick
16,a,afforded,Harry accidentally dropped his book behind his bed.  He couldn’t reach it with his hand.,He tried to push it out by using a rolled paper.,push,rolled paper,rolledpaper_natrual.jpeg,rolledpaper_synthetic.png,,rolledpaper
16,b,related,Harry accidentally dropped his book behind his bed.  He couldn’t reach it with his hand.,He tried to push it out by using a mop handle.,push,mop handle,mophandle_natrual.jpeg,mophandle_synthetic.png,,mophandle
16,c,nonafforded,Harry accidentally dropped his book behind his bed.  He couldn’t reach it with his hand.,He tried to push it out by using a smelly sock.,push,smelly sock,smellysock_natrual.jpeg,smellysock_synthetic.png,,smellysock
17,a,related,"Janet was teaching her class and desperately needed to draw on the blackboard, but as usual, the janitorial staff had forgotten to put fresh supplies in the classroom.",She looked around and found an eraser and some chalk in a cup to use on the blackboard.,blackboard,chalk,chalk_natrual.jpeg,chalk_synthetic.png,,chalk
17,b,afforded,"Janet was teaching her class and desperately needed to draw on the blackboard, but as usual, the janitorial staff had forgotten to put fresh supplies in the classroom.",She looked around and found an eraser and some rice in a cup to use on the blackboard.,blackboard,rice,rice_natrual.jpeg,rice_synthetic.png,,rice
17,c,nonafforded,"Janet was teaching her class and desperately needed to draw on the blackboard, but as usual, the janitorial staff had forgotten to put fresh supplies in the classroom.",She looked around and found a brush and some water in a cup to use on the blackboard.,blackboard,water,water_natrual.jpeg,water_synthetic.png,,water
18,a,nonafforded,"Judy was trying to complete the Xeroxing using the machine in the hallway, but people kept asking her if they could cut in to make a few copies.",She became so frustrated that she moved the Xerox machine into her mailbox to get some privacy.,privacy,her mailbox,hermailbox_natrual.jpeg,hermailbox_synthetic.png,,hermailbox
18,b,afforded,"Judy was trying to complete the Xeroxing using the machine in the hallway, but people kept asking her if they could cut in to make a few copies.",She became so frustrated that she moved the Xerox machine into the lavatory to get some privacy.,privacy,the lavatory,thelavatory_natrual.jpeg,thelavatory_synthetic.png,,thelavatory
18,c,related,"Judy was trying to complete the Xeroxing using the machine in the hallway, but people kept asking her if they could cut in to make a few copies.",She became so frustrated that she moved the Xerox machine into her office to get some privacy.,privacy,her office,heroffice_natrual.jpeg,heroffice_synthetic.png,,heroffice
